prayer,date_local,time_local,hours_from_midnight,target_angle,sqm_at_crossing,lat,lng,elevation_m,utc_offset,source,notes
fajr,2021-11-10,03:58,3.9736,18.0,21.81,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.81
fajr,2021-11-11,03:58,3.9713,18.0,21.683,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.683
fajr,2021-11-12,04:04,4.0743,16.51,21.756,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=21.756
fajr,2021-11-12,03:58,3.9683,18.0,21.781,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.781
fajr,2021-11-13,03:57,3.9645,18.0,21.84,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.84
fajr,2021-11-14,03:57,3.9604,18.0,21.94,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.94
fajr,2021-11-15,04:04,4.0691,16.51,21.81,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=21.81
fajr,2021-11-15,03:57,3.9578,18.0,21.84,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.84
fajr,2021-11-16,03:57,3.9536,18.0,22.015,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=22.015
fajr,2021-11-30,03:57,3.9564,18.0,21.303,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.303
fajr,2021-12-01,03:57,3.9591,18.0,21.8,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.8
fajr,2021-12-02,03:57,3.9618,18.0,21.95,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.95
fajr,2021-12-04,03:58,3.9705,18.0,21.84,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.84
fajr,2021-12-06,03:58,3.975,18.0,22.0,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=22.0
fajr,2021-12-11,04:07,4.1181,16.51,21.92,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=21.92
fajr,2021-12-11,04:00,4.0009,18.0,21.95,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.95
